,rank,title,author,rating,rating_by_price,reviews,type,price
0,1,Becoming,Michelle Obama,4.9,0.2729805013927577,13347,Hardcover,17.95
1,2,"Girl, Wash Your Face",Rachel Hollis,4.6,0.33749082905355826,10521,Hardcover,13.63
2,3,The Wonky Donkey,Craig Smith,4.7,0.9418837675350701,5503,Paperback,4.99
3,4,Fire and Fury,Michael Wolff,4.2,0.2697495183044316,9931,Hardcover,15.57
4,5,Fear,Bob Woodward,4.5,0.29088558500323203,3220,Hardcover,15.47
5,6,Last Week Tonight with John Oliver Presents A Day in the Life of Marlon Bundo,Jill Twiss,4.9,0.44954128440366975,8537,Hardcover,10.9
6,7,12 Rules for Life,Jordan B. Peterson,4.6,0.29543994861913936,5067,Hardcover,15.57
7,8,Magnolia Table,Joanna Gaines,4.7,0.2572523262178435,1964,Hardcover,18.27
8,9,Whose Boat Is This Boat?,The Staff of The Late Show with,4.5,0.6756756756756757,2509,Hardcover,6.66
9,10,The Subtle Art of Not Giving a F*ck,Mark Manson,4.4,0.2935290193462308,5455,Hardcover,14.99
10,11,A Higher Loyalty,James Comey,4.7,0.5956907477820026,4762,Hardcover,7.89
11,12,The Complete Ketogenic Diet for Beginners,Amy Ramos,4.1,0.5702364394993045,2068,Paperback,7.19
12,13,Diary of a Wimpy Kid #13,Jeff Kinney,4.8,0.48,640,Hardcover,10.0
13,14,The 5 Love Languages,Gary Chapman,4.8,0.5005213764337851,14189,Paperback,9.59
14,15,First 100 Words,Roger Priddy,4.6,0.9218436873747494,10027,Board book,4.99
15,16,Dog Man,Dav Pilkey,4.9,0.7000000000000001,679,Hardcover,7.0
16,17,Educated,Tara Westover,4.7,0.27976190476190477,7835,Hardcover,16.8
17,18,You Are a Badass,Jen Sincero,4.6,0.5162738496071829,4500,Paperback,8.91
18,19,The Plant Paradox,Dr. Steven R Gundry MD,4.3,0.21329365079365079,2202,Hardcover,20.16
19,20,Giraffes Can't Dance,Giles Andreae,4.6,0.9199999999999999,3891,Board book,5.0
20,21,Player's Handbook (Dungeons & Dragons),Wizards RPG Team,4.6,0.1534868201534868,3394,Hardcover,29.97
21,22,Homebody,Joanna Gaines,4.6,0.18760195758564435,571,Hardcover,24.52
22,23,The Very Hungry Caterpillar,Eric Carle,4.6,0.8214285714285714,4730,Board book,5.6
23,24,Crazy Rich Asians,Kevin Kwan,4.2,1.2962962962962963,3646,Paperback,3.24
24,25,The Hate U Give,Angie Thomas,4.8,0.32989690721649484,3484,Hardcover,14.55
25,26,The Instant Pot Electric Pressure Cooker Cookbook,,4.0,0.33003300330033003,2820,Paperback,12.12
26,27,The Four Agreements,Don Miguel Ruiz,4.6,0.8070175438596491,7912,Paperback,5.7
27,28,The Wonderful Things You Will Be,Emily Winfield Martin,4.8,0.4448563484708063,1993,Hardcover,10.79
28,29,P is for Potty! (Sesame Street) (Lift-the-Flap),,4.4,0.7345575959933223,1609,Board book,5.99
29,30,The Pout-Pout Fish,Deborah Diesen,4.8,0.96,2995,Board book,5.0
30,31,Lettering and Modern Calligraphy,,4.3,0.698051948051948,899,Paperback,6.16
31,32,"Publication Manual of the American Psychological Association, 6th Edition",,4.3,0.1678376268540203,4632,Paperback,25.62
32,33,Dear Zoo,Rod Campbell,4.8,0.96,2958,Board book,5.0
33,34,"Oh, the Places You'll Go!",Dr. Seuss,4.8,0.4367606915377616,7656,Hardcover,10.99
34,35,Dog Man and Cat Kid,Dav Pilkey,4.9,0.7000000000000001,715,Hardcover,7.0
35,36,Goodnight Moon,Margaret Wise Brown,4.7,0.7197549770290965,3437,Board book,6.53
36,37,"Salt, Fat, Acid, Heat",Samin Nosrat,4.8,0.2183803457688808,841,Hardcover,21.98
37,38,A Wrinkle in Time (Time Quintet),Madeleine L'Engle,4.5,0.7269789983844911,3616,Paperback,6.19
38,39,How to Win Friends & Influence People,Dale Carnegie,4.6,0.45142296368989204,7532,Paperback,10.19
39,40,Dog Man,Dav Pilkey,4.9,0.7716535433070867,703,Hardcover,6.35
40,41,Instant Pot Pressure Cooker Cookbook,,4.5,0.32165832737669764,2164,Paperback,13.99
41,42,Milk and Honey,Rupi Kaur,4.6,0.49729729729729727,6529,Paperback,9.25
42,43,Little Fires Everywhere,Celeste Ng,4.3,0.2885906040268456,4098,Hardcover,14.9
43,44,Kitchen Confidential Updated Edition,Anthony Bourdain,4.6,0.39349871685201027,3436,Paperback,11.69
44,45,The President Is Missing,James Patterson,4.3,0.2866666666666667,6418,Hardcover,15.0
45,46,School Zone - Big Preschool Workbook,School Zone,4.8,0.7174887892376681,1210,Paperback,6.69
46,47,The Plant Paradox Cookbook,Dr. Steven R Gundry MD,4.3,0.22835900159320235,584,Hardcover,18.83
47,48,Ready Player One,Ernest Cline,4.6,0.3833333333333333,18942,Paperback,12.0
48,49,Fahrenheit 451,Ray Bradbury,4.4,0.5307599517490954,3461,Paperback,8.29
49,50,Ship of Fools,Tucker Carlson,4.8,0.3096774193548387,1792,Hardcover,15.5
50,51,The Alchemist,Paulo Coelho,4.6,0.45142296368989204,12303,Paperback,10.19
51,52,Wonder,R. J. Palacio,4.9,0.49000000000000005,13244,Hardcover,10.0
52,53,To Kill a Mockingbird,Harper Lee,4.7,0.6536856745479833,10416,Paperback,7.19
53,54,The Whole30,Melissa Hartwig,4.6,0.27154663518299876,3494,Hardcover,16.94
54,55,The Keto Diet,Leanne Vogel,4.4,0.21369596891695,2295,Paperback,20.59
55,56,"Everybody, Always",Bob Goff,4.9,0.4974619289340102,1164,Paperback,9.85
56,57,Before We Were Yours,Lisa Wingate,4.7,0.42805100182149364,9826,Hardcover,10.98
57,58,The Reckoning,John Grisham,3.7,0.2358189929891651,5050,Hardcover,15.69
58,59,"Brown Bear, Brown Bear, What Do You See?",,4.8,0.6639004149377593,3047,Board book,7.23
59,60,Beneath a Scarlet Sky,Mark Sullivan,4.7,0.3919933277731443,25842,Paperback,11.99
60,61,What to Expect When You're Expecting,Heidi Murkoff,4.4,0.40854224698235847,3587,Paperback,10.77
61,62,Principles,Ray Dalio,4.4,0.24512534818941506,966,Hardcover,17.95
62,63,Astrophysics for People in a Hurry,Neil deGrasse Tyson,4.6,0.34612490594431905,3971,Hardcover,13.29
63,64,Laugh-Out-Loud Jokes for Kids,Rob Elliott,4.6,1.2742382271468145,4537,Paperback,3.61
64,65,Medical Medium Liver Rescue,Anthony William,4.8,0.2286803239637923,1575,Hardcover,20.99
65,66,"The Official SAT Study Guide, 2018 Edition",The College Board,4.4,0.19130434782608696,409,Paperback,23.0
66,67,Calm the F*ck Down,Sasha O'Hara,4.4,0.8817635270541082,2027,Paperback,4.99
67,68,The Care and Keeping of You,,4.8,0.49331963001027745,2861,Paperback,9.73
68,69,The Outsider,Stephen King,4.4,0.25287356321839083,3994,Hardcover,17.4
69,70,Where the Crawdads Sing,Delia Owens,4.8,0.3076923076923077,15153,Hardcover,15.6
70,71,Dungeons & Dragons Dungeon Master's Guide,Wizards RPG Team,4.6,0.1379310344827586,1534,Hardcover,33.35
71,72,Sapiens,Yuval Noah Harari,4.5,0.331858407079646,5984,Paperback,13.56
72,73,Love You Forever,Robert Munsch,4.8,0.96,7016,Paperback,5.0
73,74,Dragons Love Tacos,Adam Rubin,4.5,0.5300353356890459,2371,Hardcover,8.49
74,75,The Woman in the Window,A. J. Finn,4.3,0.273015873015873,5744,Hardcover,15.75
75,76,Dungeons & Dragons Monster Manual,Wizards RPG Team,4.7,0.17097126227719173,1492,Hardcover,27.49
76,77,Simply Keto,Suzanne Ryan,4.8,0.21957913998170173,1395,Paperback,21.86
77,78,StrengthsFinder 2.0,Tom Rath,4.0,0.27416038382453733,3710,Hardcover,14.59
78,79,Extreme Ownership,Jocko Willink,4.7,0.23749368367862558,2786,Hardcover,19.79
79,81,How to Draw 101 Animals,Dan Green,4.6,0.9218436873747494,743,Paperback,4.99
80,82,The Sun and Her Flowers,Rupi Kaur,4.6,0.36106750392464676,1245,Paperback,12.74
81,83,The Life-Changing Magic of Tidying Up,Marie Kondo,4.4,0.45407636738906093,14421,Hardcover,9.69
82,84,The Easy 5-Ingredient Ketogenic Diet Cookbook,Jen Fisch,4.3,0.4783092324805339,663,Paperback,8.99
83,85,Where Do Diggers Sleep at Night?,Brianna Caplan Sayres,4.8,0.7817589576547231,1569,Board book,6.14
84,86,The 7 Habits of Highly Effective People,Stephen R. Covey,4.5,0.46487603305785125,5426,Paperback,9.68
85,87,Whiskey in a Teacup,Reese Witherspoon,4.7,0.24114930733709597,616,Hardcover,19.49
86,88,Man's Search for Meaning,Vicktor Frankl,4.7,0.47047047047047047,4959,Paperback,9.99
87,89,The Great Alone,Kristin Hannah,4.6,0.29058749210360074,6902,Hardcover,15.83
88,90,The Total Money Makeover,Dave Ramsey,4.7,0.3219178082191781,5772,Hardcover,14.6
89,91,Cravings,Chrissy Teigen,4.7,0.25753424657534246,332,Hardcover,18.25
90,92,The Handmaid's Tale,Margaret Atwood,4.1,0.4320337197049525,14663,Paperback,9.49
91,93,The Gifts of Imperfection,Bren Brown,4.6,0.5128205128205128,4057,Paperback,8.97
92,94,The Great Gatsby,F. Scott Fitzgerald,4.2,0.37333333333333335,7527,Paperback,11.25
93,95,The Body Keeps the Score,,4.8,0.4444444444444444,2005,Paperback,10.8
94,96,"Gmorning, Gnight!",Lin-Manuel Miranda,4.7,0.30342156229825695,285,Hardcover,15.49
95,97,Rich Dad Poor Dad,Robert T. Kiyosaki,4.5,0.6976744186046512,8611,Paperback,6.45
96,98,Make Your Bed,William H. McRaven,4.7,0.4272727272727273,2582,Hardcover,11.0
97,99,Harry Potter Paperback Box Set,J. K. Rowling,4.7,0.08547008547008547,7742,Paperback,54.99
98,100,Xanathar's Guide to Everything,Wizards RPG Team,4.5,0.14258555133079848,743,Hardcover,31.56
